"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0060696","regulation of phospholipid catabolic process",0.000320647377332181,76,3.19943433899547,0,0,62556,7,7,1.07503264869999,0.602574329955873,0.787227490867444
"GO:0060574","intestinal epithelial cell maturation",0.0003596857235506,85,3.18994376343356,0,0,127845,6,6,1.07503264869999,0.647803187026195,0.787227490867444
"GO:2000646","positive regulation of receptor catabolic process",0.000410201851441754,96,3.15908214036991,0,0,81915,8,8,1.07503264869999,0.56050097454162,0.787227490867444
"GO:2001198","regulation of dendritic cell differentiation",0.000360033958044081,83,3.1118734616418,0,0,99884,7,7,1.07503264869999,0.602574329955873,0.787227490867444
"GO:0010713","negative regulation of collagen metabolic process",0.000361290053137871,81,3.0263302255955,0,0,40375,9,9,1.07503264869999,0.521363131661242,0.787227490867444
"GO:0043691","reverse cholesterol transport",0.000828468922682194,180,2.9328076784724,0,0,90118,15,15,1.07503264869999,0.337665083140695,0.726747534005243
"GO:0034384","high-density lipoprotein particle clearance",0.000462078238410085,95,2.77520705496566,0,0,85036,10,10,1.07503264869999,0.484956137659816,0.787227490867444
"GO:0060397","growth hormone receptor signaling pathway via JAK-STAT",0.000681339678983685,137,2.71421462996425,0,0,91591,10,11,0.97730240790908,0.823621639318383,0.891907868189491
"GO:0032287","peripheral nervous system myelin maintenance",0.000543520176401719,105,2.60771983316338,0,0,87939,9,9,1.07503264869999,0.521363131661242,0.787227490867444
"GO:0010867","positive regulation of triglyceride biosynthetic process",0.000726187720314761,139,2.58376613028995,0,0,68631,13,13,1.07503264869999,0.390281604747418,0.765924439060134
"GO:0034334","adherens junction maintenance",0.000540658730505136,103,2.57158749867801,0,0,83300,6,6,1.07503264869999,0.647803187026195,0.787227490867444
"GO:0030647","aminoglycoside antibiotic metabolic process",0.00061316299023592,114,2.50966768888977,0,0,95295,10,10,1.07503264869999,0.484956137659816,0.787227490867444
"GO:0006089","lactate metabolic process",0.00061751336836563,114,2.49198709445101,0,0,104752,15,16,1.00784310815624,0.691471658235891,0.787227490867444
"GO:0034375","high-density lipoprotein particle remodeling",0.000772397041938537,140,2.44666627268968,0,0,84416,15,16,1.00784310815624,0.691471658235891,0.787227490867444
"GO:0010887","negative regulation of cholesterol storage",0.000715918717416564,128,2.41342359369606,0,0,78772,9,9,1.07503264869999,0.521363131661242,0.787227490867444
"GO:0097067","cellular response to thyroid hormone stimulus",0.00115674273754317,206,2.40390743298916,0,0,129864,11,11,1.07503264869999,0.45108958749396,0.787227490867444
"GO:0010745","negative regulation of macrophage derived foam cell differentiation",0.000848232506706672,149,2.37114797726412,0,0,65813,13,13,1.07503264869999,0.390281604747418,0.765924439060134
"GO:0014745","negative regulation of muscle adaptation",0.000827543361012814,140,2.28362389292014,0,0,100768,9,9,1.07503264869999,0.521363131661242,0.787227490867444
"GO:0097066","response to thyroid hormone",0.0017288964356005,292,2.27982322709694,0,0,113318,21,21,1.07503264869999,0.218658873742319,0.598635539587677
"GO:0034377","plasma lipoprotein particle assembly",0.000995081937351768,168,2.27896544479421,0,0,77835,21,21,1.07503264869999,0.218658873742319,0.598635539587677
"GO:0090208","positive regulation of triglyceride metabolic process",0.00104348006424738,176,2.27675245229859,0,0,76907,21,21,1.07503264869999,0.218658873742319,0.598635539587677
"GO:0065005","protein-lipid complex assembly",0.00130707859798518,217,2.24101793231984,0,0,83876,23,24,1.03023962167082,0.493224203432811,0.787227490867444
"GO:0097011","cellular response to granulocyte macrophage colony-stimulating factor stimulus",0.000875997314357037,145,2.23435681574621,0,0,123809,10,10,1.07503264869999,0.484956137659816,0.787227490867444
"GO:0097012","response to granulocyte macrophage colony-stimulating factor",0.000875997314357037,145,2.23435681574621,0,0,123809,10,10,1.07503264869999,0.484956137659816,0.787227490867444
"GO:0045722","positive regulation of gluconeogenesis",0.00156775271086911,258,2.22141370557219,0,0,126031,19,20,1.02128101626499,0.588264166639386,0.787227490867444
"GO:1901029","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",0.0010327641093551,169,2.20888379539312,0,0,196574,11,11,1.07503264869999,0.45108958749396,0.787227490867444
"GO:1905709","negative regulation of membrane permeability",0.00127993673180409,207,2.18307745301781,0,0,168819,17,17,1.07503264869999,0.292137303636624,0.691101255230546
"GO:1900153","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.00170801700341411,274,2.16543760510128,0,0,235269,11,11,1.07503264869999,0.45108958749396,0.787227490867444
"GO:0035795","negative regulation of mitochondrial membrane permeability",0.00118658639959402,190,2.16143179733144,0,0,178718,15,15,1.07503264869999,0.337665083140695,0.726747534005243
"GO:1901028","regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",0.00129766231004902,207,2.15325743751103,0,0,176294,17,17,1.07503264869999,0.292137303636624,0.691101255230546
"GO:0010612","regulation of cardiac muscle adaptation",0.00116766157391943,183,2.11554078677952,0,0,123079,10,10,1.07503264869999,0.484956137659816,0.787227490867444
"GO:1903242","regulation of cardiac muscle hypertrophy in response to stress",0.00116766157391943,183,2.11554078677952,0,0,123079,10,10,1.07503264869999,0.484956137659816,0.787227490867444
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",0.0015690595263339,245,2.10772509255315,0,0,347805,16,16,1.07503264869999,0.314077978134349,0.708459051210448
"GO:0045717","negative regulation of fatty acid biosynthetic process",0.00122802392148209,191,2.0994901523632,0,0,81303,18,18,1.07503264869999,0.27172821991382,0.669001756623266
"GO:2000392","regulation of lamellipodium morphogenesis",0.0011330672172537,176,2.0967386215252,0,0,142944,10,10,1.07503264869999,0.484956137659816,0.787227490867444
"GO:0097345","mitochondrial outer membrane permeabilization",0.00195464804123052,301,2.07866846936812,0,0,159850,26,26,1.07503264869999,0.152212962096459,0.488293069873439
"GO:0071472","cellular response to salt stress",0.00113168176819361,174,2.07544978624149,0,0,147021,14,14,1.07503264869999,0.36302206181761,0.75011655017006
"GO:0033033","negative regulation of myeloid cell apoptotic process",0.0014440453856051,222,2.07519748699123,0,0,202128,15,16,1.00784310815624,0.691471658235891,0.787227490867444
"GO:0034383","low-density lipoprotein particle clearance",0.00158554500852824,243,2.06878329307042,0,0,76211,26,26,1.07503264869999,0.152212962096459,0.488293069873439
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",0.00188129276856356,286,2.05209257257049,0,0,305985,22,22,1.07503264869999,0.203379708702223,0.575834890429998
"GO:1900078","positive regulation of cellular response to insulin stimulus",0.0018820055769989,285,2.04414291251995,0,0,111658,22,25,0.94602873085599,0.907296917693903,0.953999943895563
