"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0010901","regulation of very-low-density lipoprotein particle remodeling",0.000163645637639317,128,4.09523653623135,0,0,65184,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:0071332","cellular response to fructose stimulus",0.000188251141561635,135,3.75465125312311,0,0,36526,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:0051410","detoxification of nitrogen compound",9.5117813486269e-05,67,3.68796166838617,0,0,15861,6,6,1.06468793629453,0.686507886151381,0.75665042941215
"GO:0070458","cellular detoxification of nitrogen compound",9.5117813486269e-05,67,3.68796166838617,0,0,15861,6,6,1.06468793629453,0.686507886151381,0.75665042941215
"GO:0009136","purine nucleoside diphosphate biosynthetic process",0.000174640381801093,121,3.62755622388704,0,0,35337,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:0009180","purine ribonucleoside diphosphate biosynthetic process",0.000174640381801093,121,3.62755622388704,0,0,35337,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:0034384","high-density lipoprotein particle clearance",0.000289949786664608,195,3.52115604607925,0,0,46009,11,11,1.06468793629453,0.501740622877597,0.752571208217989
"GO:0052651","monoacylglycerol catabolic process",0.000251874408603801,162,3.36747534686499,0,0,38729,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:0034380","high-density lipoprotein particle assembly",0.000286837083148953,180,3.2855695263512,0,0,79943,8,8,1.06468793629453,0.60559617108818,0.75665042941215
"GO:0006572","tyrosine catabolic process",0.00018313771112905,112,3.20194372507075,0,0,27740,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:0000098","sulfur amino acid catabolic process",0.000174130096344274,105,3.15710417787704,0,0,30212,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:0006621","protein retention in ER lumen",0.000228022812728716,136,3.1227273287937,0,0,36788,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:2000646","positive regulation of receptor catabolic process",0.000352915461567379,205,3.04128156615138,0,0,60212,10,10,1.06468793629453,0.534213979969008,0.75665042941215
"GO:1902031","regulation of NADP metabolic process",0.000403591982048921,234,3.03561564089661,0,0,63396,10,10,1.06468793629453,0.534213979969008,0.75665042941215
"GO:0009750","response to fructose",0.000481773304133422,278,3.02117247113047,0,0,39051,11,11,1.06468793629453,0.501740622877597,0.752571208217989
"GO:1901030","positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",0.000284551185602934,164,3.0175668687528,0,0,54480,9,9,1.06468793629453,0.568787269619357,0.75665042941215
"GO:0036289","peptidyl-serine autophosphorylation",0.000260732450449346,150,3.01210167036968,0,0,43440,8,8,1.06468793629453,0.60559617108818,0.75665042941215
"GO:2000210","positive regulation of anoikis",0.000251366011694194,144,2.99936550075257,0,0,53162,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:0060696","regulation of phospholipid catabolic process",0.000252074594608327,143,2.97016389283714,0,0,39673,8,8,1.06468793629453,0.60559617108818,0.75665042941215
"GO:0006522","alanine metabolic process",0.000205614822342872,116,2.95377237581247,0,0,56355,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:0006524","alanine catabolic process",0.000205614822342872,116,2.95377237581247,0,0,56355,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:2000425","regulation of apoptotic cell clearance",0.000198026639643017,110,2.90832222044197,0,0,31421,8,8,1.06468793629453,0.60559617108818,0.75665042941215
"GO:0006449","regulation of translational termination",0.000193252392289798,107,2.89889411812707,0,0,26337,8,8,1.06468793629453,0.60559617108818,0.75665042941215
"GO:0034370","triglyceride-rich lipoprotein particle remodeling",0.000487101273529348,269,2.89138863176781,0,0,71913,11,11,1.06468793629453,0.501740622877597,0.752571208217989
"GO:0009071","serine family amino acid catabolic process",0.000387762179313683,214,2.88949388676551,0,0,35464,12,12,1.06468793629453,0.471239747265572,0.739003789089321
"GO:0034372","very-low-density lipoprotein particle remodeling",0.000472210078758727,260,2.88278032821666,0,0,74127,10,10,1.06468793629453,0.534213979969008,0.75665042941215
"GO:0043456","regulation of pentose-phosphate shunt",0.000282839784118959,154,2.85071419266611,0,0,76447,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:0030300","regulation of intestinal cholesterol absorption",0.000380486362322776,207,2.8484244473801,0,0,64859,10,10,1.06468793629453,0.534213979969008,0.75665042941215
"GO:0006560","proline metabolic process",0.000302313727555452,164,2.84026874030139,0,0,50701,10,10,1.06468793629453,0.534213979969008,0.75665042941215
"GO:0097176","epoxide metabolic process",0.000184492554899303,100,2.83788380131548,0,0,38771,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:0043691","reverse cholesterol transport",0.000799342338362068,431,2.82304569392113,0,0,55482,20,20,1.06468793629453,0.2852948452853,0.599353299617288
"GO:0002538","arachidonate metabolite production involved in inflammatory response",0.000210024202374634,112,2.79204319475279,0,0,34785,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:0035652","clathrin-coated vesicle cargo loading",0.000443152891347086,233,2.75280715242493,0,0,148821,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:0035654","clathrin-coated vesicle cargo loading, AP-3-mediated",0.000443152891347086,233,2.75280715242493,0,0,148821,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:0006559","L-phenylalanine catabolic process",0.000331858537857362,174,2.74517292615961,0,0,50435,9,9,1.06468793629453,0.568787269619357,0.75665042941215
"GO:1902222","erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process",0.000331858537857362,174,2.74517292615961,0,0,50435,9,9,1.06468793629453,0.568787269619357,0.75665042941215
"GO:0009188","ribonucleoside diphosphate biosynthetic process",0.000509678100035991,266,2.73249337515909,0,0,119737,9,9,1.06468793629453,0.568787269619357,0.75665042941215
"GO:0034377","plasma lipoprotein particle assembly",0.00070012977680964,365,2.72952935840283,0,0,58120,21,21,1.06468793629453,0.267944147596826,0.577204222432825
"GO:1904729","regulation of intestinal lipid absorption",0.000442502853396541,230,2.72135509790387,0,0,59375,14,14,1.06468793629453,0.415683815552218,0.708285141376257
"GO:0007418","ventral midline development",0.000386833769504014,201,2.72047745909958,0,0,165199,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:0071830","triglyceride-rich lipoprotein particle clearance",0.000332420569507805,171,2.69328104989473,0,0,67145,10,10,1.06468793629453,0.534213979969008,0.75665042941215
"GO:0034379","very-low-density lipoprotein particle assembly",0.000333845667234363,171,2.68178415453891,0,0,38377,10,10,1.06468793629453,0.534213979969008,0.75665042941215
"GO:0034375","high-density lipoprotein particle remodeling",0.000723981372684725,370,2.67576387353841,0,0,71710,15,15,1.06468793629453,0.390410659775789,0.688763227676713
"GO:0051167","xylulose 5-phosphate metabolic process",0.000222414960635896,113,2.66003836977555,0,0,56292,6,6,1.06468793629453,0.686507886151381,0.75665042941215
"GO:1901159","xylulose 5-phosphate biosynthetic process",0.000222414960635896,113,2.66003836977555,0,0,56292,6,6,1.06468793629453,0.686507886151381,0.75665042941215
"GO:0019530","taurine metabolic process",0.000517906877950329,263,2.6587501295044,0,0,79628,9,9,1.06468793629453,0.568787269619357,0.75665042941215
"GO:0019694","alkanesulfonate metabolic process",0.000517906877950329,263,2.6587501295044,0,0,79628,9,9,1.06468793629453,0.568787269619357,0.75665042941215
"GO:0015744","succinate transport",0.000202953103901564,103,2.65714332836199,0,0,33566,6,6,1.06468793629453,0.686507886151381,0.75665042941215
"GO:0071422","succinate transmembrane transport",0.000202953103901564,103,2.65714332836199,0,0,33566,6,6,1.06468793629453,0.686507886151381,0.75665042941215
"GO:0060318","definitive erythrocyte differentiation",0.000457874494578024,232,2.65286400306566,0,0,82264,8,8,1.06468793629453,0.60559617108818,0.75665042941215
"GO:2001186","negative regulation of CD8-positive, alpha-beta T cell activation",0.000343771871383302,174,2.65003960264445,0,0,107739,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:0140105","interleukin-10-mediated signaling pathway",0.000328225728439383,166,2.6479447632957,0,0,49515,6,6,1.06468793629453,0.686507886151381,0.75665042941215
"GO:0034382","chylomicron remnant clearance",0.000307668892031238,154,2.62065944176336,0,0,72473,9,9,1.06468793629453,0.568787269619357,0.75665042941215
"GO:0009298","GDP-mannose biosynthetic process",0.000219920945187059,110,2.61878319876888,0,0,43333,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:0035702","monocyte homeostasis",0.000206300742690454,103,2.61402590688468,0,0,46877,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:0033211","adiponectin-activated signaling pathway",0.000267879846229802,132,2.57992656522214,0,0,43149,7,7,1.06468793629453,0.644785122569212,0.75665042941215
"GO:0032025","response to cobalt ion",0.0002497513038275,123,2.57852176439327,0,0,38197,8,8,1.06468793629453,0.60559617108818,0.75665042941215
"GO:1902267","regulation of polyamine transmembrane transport",0.000266077416770185,131,2.57772589485927,0,0,71179,5,5,1.06468793629453,0.730928149189313,0.75665042941215
"GO:0006558","L-phenylalanine metabolic process",0.000489759970295116,240,2.56567362675989,0,0,56410,11,11,1.06468793629453,0.501740622877597,0.752571208217989
