"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:1901685","glutathione derivative metabolic process",8.61974495827109e-05,33,7.56739249420748,0,0,9863,7,7,1.32012566519202,0.143070879494892,0.26409220869697
"GO:1901687","glutathione derivative biosynthetic process",8.61974495827109e-05,33,7.56739249420748,0,0,9863,7,7,1.32012566519202,0.143070879494892,0.26409220869697
"GO:0071332","cellular response to fructose stimulus",0.000188251141561635,66,6.92999710472904,0,0,27767,5,5,1.32012566519202,0.249376826409642,0.367482250660027
"GO:0009136","purine nucleoside diphosphate biosynthetic process",0.000174640381801093,54,6.11189414330263,0,0,38510,5,5,1.32012566519202,0.249376826409642,0.367482250660027
"GO:0009180","purine ribonucleoside diphosphate biosynthetic process",0.000174640381801093,54,6.11189414330263,0,0,38510,5,5,1.32012566519202,0.249376826409642,0.367482250660027
"GO:0046687","response to chromate",0.000125004450833643,38,6.0087599762406,0,0,21776,6,6,1.32012566519202,0.188889165770179,0.311479485276653
"GO:0034384","high-density lipoprotein particle clearance",0.000289949786664608,88,5.99910709133973,0,0,47212,10,11,1.20011424108366,0.212984814466788,0.340713600954172
"GO:0010901","regulation of very-low-density lipoprotein particle remodeling",0.000163645637639317,48,5.79780415027311,0,0,68026,5,5,1.32012566519202,0.249376826409642,0.367482250660027
"GO:0019626","short-chain fatty acid catabolic process",0.000158533718044502,42,5.23666004736839,0,0,21927,4,6,0.880083776794683,0.84228624027732,0.880339379819286
"GO:0060696","regulation of phospholipid catabolic process",0.000252074594608327,66,5.17537226633696,0,0,43583,7,8,1.15510995704302,0.386012642562763,0.501434874235154
"GO:0000098","sulfur amino acid catabolic process",0.000174130096344274,45,5.10817079261965,0,0,35717,6,7,1.13153628445031,0.4637988834219,0.571563562768692
"GO:0009071","serine family amino acid catabolic process",0.000387762179313683,99,5.04657210881075,0,0,34502,11,12,1.21011519309269,0.172740689772671,0.306486990579751
"GO:0006522","alanine metabolic process",0.000205614822342872,50,4.80664802775209,0,0,57997,5,5,1.32012566519202,0.249376826409642,0.367482250660027
"GO:0006524","alanine catabolic process",0.000205614822342872,50,4.80664802775209,0,0,57997,5,5,1.32012566519202,0.249376826409642,0.367482250660027
"GO:2000210","positive regulation of anoikis",0.000251366011694194,61,4.79678238847127,0,0,51987,5,7,0.942946903708589,0.771855745069596,0.820687612074224
"GO:0043691","reverse cholesterol transport",0.000799342338362068,193,4.77255814791474,0,0,56431,18,20,1.18811309867282,0.103884258702501,0.220838655547756
"GO:0034380","high-density lipoprotein particle assembly",0.000286837083148953,69,4.75489060141248,0,0,94543,6,8,0.990094248894018,0.697157605999312,0.754662540666456
"GO:0009750","response to fructose",0.000481773304133422,115,4.71825973993713,0,0,32169,10,11,1.20011424108366,0.212984814466788,0.340713600954172
"GO:2000646","positive regulation of receptor catabolic process",0.000352915461567379,82,4.59271930019344,0,0,63315,9,10,1.18811309867282,0.261284429676636,0.373793963350519
"GO:0006707","cholesterol catabolic process",0.000388249424494509,90,4.58203523891865,0,0,58548,8,8,1.32012566519202,0.108364913342339,0.223436219229726
"GO:0016127","sterol catabolic process",0.000388249424494509,90,4.58203523891865,0,0,58548,8,8,1.32012566519202,0.108364913342339,0.223436219229726
"GO:0036289","peptidyl-serine autophosphorylation",0.000260732450449346,59,4.47284307240421,0,0,42897,8,8,1.32012566519202,0.108364913342339,0.223436219229726
"GO:1901030","positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway",0.000284551185602934,64,4.44576303589082,0,0,52359,8,9,1.17344503572624,0.318671399521836,0.434727333084719
"GO:0060397","growth hormone receptor signaling pathway via JAK-STAT",0.000325247111775816,73,4.4364556824086,0,0,51606,8,8,1.32012566519202,0.108364913342339,0.223436219229726
"GO:0030300","regulation of intestinal cholesterol absorption",0.000380486362322776,84,4.36382099151369,0,0,56504,10,10,1.32012566519202,0.0621646217802652,0.153217413723592
"GO:0034375","high-density lipoprotein particle remodeling",0.000723981372684725,156,4.25915987185295,0,0,70530,13,15,1.14410890983309,0.25687878089995,0.373793963350519
"GO:0071139","resolution of DNA recombination intermediates",0.000315379074881022,67,4.19922034488022,0,0,86304,5,6,1.10010472099335,0.551815129606956,0.638141622627844
"GO:1902267","regulation of polyamine transmembrane transport",0.000266077416770185,56,4.16012851959524,0,0,63681,4,5,1.05610053215362,0.648638833163744,0.715567289191483
"GO:0060318","definitive erythrocyte differentiation",0.000457874494578024,96,4.14430315867985,0,0,79663,8,8,1.32012566519202,0.108364913342339,0.223436219229726
"GO:0006702","androgen biosynthetic process",0.00077993411636857,160,4.05498078691115,0,0,51397,13,13,1.32012566519202,0.027006885869352,0.0828327890099865
"GO:0038110","interleukin-2-mediated signaling pathway",0.000346476648701056,70,3.99347349264271,0,0,51478,8,9,1.17344503572624,0.318671399521836,0.434727333084719
"GO:0071352","cellular response to interleukin-2",0.000346476648701056,70,3.99347349264271,0,0,51478,8,9,1.17344503572624,0.318671399521836,0.434727333084719
"GO:0034372","very-low-density lipoprotein particle remodeling",0.000472210078758727,95,3.97662912551318,0,0,77882,9,10,1.18811309867282,0.261284429676636,0.373793963350519
"GO:0110104","mRNA alternative polyadenylation",0.000314543581594208,63,3.95900871623298,0,0,89586,4,5,1.05610053215362,0.648638833163744,0.715567289191483
"GO:0051902","negative regulation of mitochondrial depolarization",0.000469886410268457,94,3.95422798008877,0,0,68951,8,8,1.32012566519202,0.108364913342339,0.223436219229726
"GO:1904729","regulation of intestinal lipid absorption",0.000442502853396541,88,3.93091210138102,0,0,54481,13,14,1.22583097482117,0.112198602586743,0.22820790577725
"GO:0009188","ribonucleoside diphosphate biosynthetic process",0.000509678100035991,101,3.91698705917866,0,0,88478,8,9,1.17344503572624,0.318671399521836,0.434727333084719
"GO:0034377","plasma lipoprotein particle assembly",0.00070012977680964,137,3.86784226252602,0,0,65957,18,21,1.13153628445031,0.213495132113431,0.340713600954172
"GO:0044406","adhesion of symbiont to host",0.000440014125879898,86,3.86330119448129,0,0,33375,13,16,1.07260210296852,0.43235843338141,0.549345440668041
"GO:0034370","triglyceride-rich lipoprotein particle remodeling",0.000487101273529348,95,3.85505941905464,0,0,77882,9,11,1.08010281697529,0.478632698120956,0.583912144097535
"GO:0009437","carnitine metabolic process",0.000519177492514904,101,3.84531793263444,0,0,33607,11,12,1.21011519309269,0.172740689772671,0.306486990579751
"GO:0046166","glyceraldehyde-3-phosphate biosynthetic process",0.000408093900894096,79,3.82642956299646,0,0,28427,12,12,1.32012566519202,0.0356591400333348,0.102680092207977
"GO:0015722","canalicular bile acid transport",0.000331298772463575,64,3.81844802311037,0,0,39965,6,6,1.32012566519202,0.188889165770179,0.311479485276653
"GO:0010668","ectodermal cell differentiation",0.000337853542128746,65,3.80287119762872,0,0,80288,5,6,1.10010472099335,0.551815129606956,0.638141622627844
"GO:0140105","interleukin-10-mediated signaling pathway",0.000328225728439383,63,3.79397674608738,0,0,57774,6,6,1.32012566519202,0.188889165770179,0.311479485276653
"GO:0010887","negative regulation of cholesterol storage",0.000615459406502962,116,3.72550638116536,0,0,36907,15,16,1.23761781111752,0.0718767760632424,0.170109568561881
"GO:1904180","negative regulation of membrane depolarization",0.000506117055412087,95,3.71021749311312,0,0,68489,9,9,1.32012566519202,0.0820766025699022,0.186329337107371
"GO:0019368","fatty acid elongation, unsaturated fatty acid",0.000512710351440393,96,3.70105793422674,0,0,61660,7,7,1.32012566519202,0.143070879494892,0.26409220869697
"GO:0034625","fatty acid elongation, monounsaturated fatty acid",0.000512710351440393,96,3.70105793422674,0,0,61660,7,7,1.32012566519202,0.143070879494892,0.26409220869697
"GO:0034626","fatty acid elongation, polyunsaturated fatty acid",0.000512710351440393,96,3.70105793422674,0,0,61660,7,7,1.32012566519202,0.143070879494892,0.26409220869697
"GO:0038113","interleukin-9-mediated signaling pathway",0.000379513760508335,71,3.69792039195992,0,0,55434,7,8,1.15510995704302,0.386012642562763,0.501434874235154
"GO:0071355","cellular response to interleukin-9",0.000379513760508335,71,3.69792039195992,0,0,55434,7,8,1.15510995704302,0.386012642562763,0.501434874235154
"GO:0006706","steroid catabolic process",0.00113591544548073,212,3.68906741879913,0,0,52376,24,24,1.32012566519202,0.00126872689249313,0.00670278830640426
"GO:0042760","very long-chain fatty acid catabolic process",0.000386118010110473,72,3.68586286667072,0,0,43363,7,7,1.32012566519202,0.143070879494892,0.26409220869697
"GO:0098856","intestinal lipid absorption",0.00115069974847913,214,3.6760252961175,0,0,50306,23,24,1.26512042914236,0.0110307713885278,0.0414343623970823
"GO:0097068","response to thyroxine",0.000366499781666945,68,3.66743080468507,0,0,45416,6,6,1.32012566519202,0.188889165770179,0.311479485276653
"GO:0030299","intestinal cholesterol absorption",0.00082885882045579,153,3.6486953520351,0,0,46996,17,17,1.32012566519202,0.00888426406883336,0.0345369378057934
"GO:1904386","response to L-phenylalanine derivative",0.000375395972166183,69,3.63317417321077,0,0,44908,7,7,1.32012566519202,0.143070879494892,0.26409220869697
"GO:0006686","sphingomyelin biosynthetic process",0.000643902060651653,118,3.62233763800377,0,0,61723,11,12,1.21011519309269,0.172740689772671,0.306486990579751
