"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0046985","positive regulation of hemoglobin biosynthetic process",0.000564413905605433,57,5.68155926529222,0,0,350158,2,6,0.926437487210968,0.699031984031723,0.920870100788377
"GO:0035166","post-embryonic hemopoiesis",0.000634009743525558,61,5.41282882738221,0,0,329855,3,5,1.66758747697974,0.250556161655657,0.713565071474864
"GO:0046984","regulation of hemoglobin biosynthetic process",0.000642084835074304,57,4.99427938440755,0,0,350158,2,8,0.694828115408226,0.844971359351762,0.973262238967204
"GO:1904995","negative regulation of leukocyte adhesion to vascular endothelial cell",0.000952560905793361,72,4.25236106873266,0,0,332878,3,5,1.66758747697974,0.250556161655657,0.713565071474864
"GO:0034115","negative regulation of heterotypic cell-cell adhesion",0.00102164137027934,67,3.68949326922984,0,0,314463,4,10,1.11172498465316,0.512710734599139,0.869027015553917
"GO:0070587","regulation of cell-cell adhesion involved in gastrulation",0.00102164137027934,67,3.68949326922984,0,0,314463,4,10,1.11172498465316,0.512710734599139,0.869027015553917
"GO:0070586","cell-cell adhesion involved in gastrulation",0.00102536812612942,67,3.6760836066174,0,0,314463,4,11,1.01065907695742,0.601378981490438,0.88793117248995
"GO:0046898","response to cycloheximide",0.000969656734465527,63,3.65521495544706,0,0,321660,5,7,1.98522318688065,0.0623660642675677,0.425912877170023
"GO:0071447","cellular response to hydroperoxide",0.0018085655434435,112,3.48396802741004,0,0,363107,6,9,1.85287497442194,0.0610093662150437,0.425761944569087
"GO:0032682","negative regulation of chemokine production",0.00200229046863881,112,3.14688833989014,0,0,260573,11,21,1.45583033704581,0.0921049545103743,0.529230790694726
"GO:1901031","regulation of response to reactive oxygen species",0.00144985337869188,81,3.14305025065909,0,0,181238,5,9,1.54406247868495,0.188628287893355,0.662558208409837
"GO:1901653","cellular response to peptide",0.00176593524182409,98,3.12206321735424,0,0,246543,6,14,1.19113391212839,0.389281490843016,0.80299547614867
"GO:1900407","regulation of cellular response to oxidative stress",0.00311687096167746,164,2.96016156746488,0,0,365870,8,21,1.05878569966968,0.501436142141857,0.869027015553917
"GO:0072567","chemokine (C-X-C motif) ligand 2 production",0.00179418955211534,94,2.94747357922669,0,0,307916,9,17,1.47140071498213,0.115460022793151,0.559738779293666
"GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production",0.00179418955211534,94,2.94747357922669,0,0,307916,9,17,1.47140071498213,0.115460022793151,0.559738779293666
"GO:0033194","response to hydroperoxide",0.00226296492192792,115,2.85897533693486,0,0,355494,7,19,1.02395722270686,0.554752389809724,0.88793117248995
"GO:0001710","mesodermal cell fate commitment",0.00262093602461472,119,2.55435310095705,0,0,322226,10,17,1.63488968331347,0.0461684814659273,0.403286695856646
"GO:1902882","regulation of response to oxidative stress",0.00480792659646333,212,2.48066673505509,0,0,318253,13,32,1.12909568753837,0.352770670296014,0.787326328231074
"GO:0050909","sensory perception of taste",0.00303543617219449,127,2.3538186870216,0,0,232555,15,49,0.850809937234562,0.824089821562536,0.969338626735794
"GO:0045806","negative regulation of endocytosis",0.00562652002462901,197,1.96977557484546,0,0,247887,29,63,1.27936605376753,0.0641663812611304,0.430890436040281
"GO:0071300","cellular response to retinoic acid",0.00989733593372069,328,1.86442931578588,0,0,354535,31,64,1.34622947360344,0.0271648745754789,0.319106863729038
"GO:0032526","response to retinoic acid",0.0136468237009498,411,1.69434026377794,0,0,320215,47,101,1.29334342274006,0.018478850585344,0.257914213725357
"GO:0007606","sensory perception of chemical stimulus",0.0153548910843297,456,1.67073854825317,0,0,202071,133,409,0.903786203905076,0.937530482589147,0.997758586161807
"GO:0050907","detection of chemical stimulus involved in sensory perception",0.0117549834780553,348,1.66551140699424,0,0,199449,114,360,0.880115612850419,0.963265238119435,0.998702639885867
"GO:0097306","cellular response to alcohol",0.013704149293951,405,1.6626212716932,0,0,241794,50,101,1.37589725823411,0.00356778689646264,0.0923125900326071
"GO:1901655","cellular response to ketone",0.0142483046664083,400,1.57938201780991,0,0,253724,51,103,1.37616442275027,0.00325510955261565,0.0882989019837436
"GO:0050906","detection of stimulus involved in sensory perception",0.0202852678897477,552,1.53090668999103,0,0,201881,146,431,0.941484035727155,0.834553622027122,0.973262238967204
"GO:1901654","response to ketone",0.0236912252226014,620,1.47229405581977,0,0,238905,92,213,1.20045420878041,0.0172282315386078,0.246786860548653
"GO:0051606","detection of stimulus",0.0334527125997002,818,1.37566394472492,0,0,219222,190,547,0.965391897093696,0.74508974102202,0.944571469501006
"GO:0006682","galactosylceramide biosynthetic process",0.00133346204143755,74,3.12206149323629,1.11022302462516e-16,2.7469609078983e-14,374899,3,6,1.38965623081645,0.372786721976893,0.787326328231074
"GO:0019375","galactolipid biosynthetic process",0.00133346204143755,74,3.12206149323629,1.11022302462516e-16,2.7469609078983e-14,374899,3,6,1.38965623081645,0.372786721976893,0.787326328231074
"GO:0071498","cellular response to fluid shear stress",0.0027516369741882,117,2.39213186287213,1.11022302462516e-16,2.7469609078983e-14,351217,8,19,1.1702368259507,0.368212131770271,0.787326328231074
"GO:0007600","sensory perception",0.0638054403768077,1411,1.24411261541982,1.11022302462516e-16,2.7469609078983e-14,231301,314,847,1.03034724079425,0.260015582747006,0.729589532030983
"GO:1901185","negative regulation of ERBB signaling pathway",0.0034820120185541,136,2.19734896333698,2.22044604925031e-16,5.33233588003788e-14,336120,14,33,1.17910225645032,0.274020014818464,0.733805648078963
"GO:0071499","cellular response to laminar fluid shear stress",0.000893026083209833,58,3.65387966447742,3.33066907387547e-16,7.76997513948377e-14,345461,2,8,0.694828115408226,0.844971359351762,0.973262238967204
"GO:0009593","detection of chemical stimulus",0.0159593900820651,427,1.50522691610694,7.7715611723761e-16,1.76263324923474e-13,210620,124,396,0.870289760713333,0.978598852047471,0.999951158833717
"GO:0038130","ERBB4 signaling pathway",0.00287642304345011,118,2.30791409023275,8.88178419700125e-16,1.95999372887879e-13,446808,5,11,1.26332384619677,0.357541302539367,0.787326328231074
"GO:0090051","negative regulation of cell migration involved in sprouting angiogenesis",0.00198820654495034,92,2.60325504573862,1.4432899320127e-15,3.1011742881273e-13,379863,6,15,1.11172498465316,0.467776714175325,0.858680243831811
"GO:2000194","regulation of female gonad development",0.00087280737746709,56,3.6096077390628,1.55431223447522e-15,3.25409215243338e-13,460987,4,7,1.58817854950452,0.216271650756892,0.687104291217909
